GROUPE;MOT;REMPLACE;REMARQUES;;;;;;;;;;;
Pronoms et adjectifs possessifs;nos;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;notre;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;nôtre;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;sa;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;ses;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;sien;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;sienne;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;siennes;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;siens;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;son;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;ta;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;tes;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;tien;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;tienne;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;tiennes;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;tiens;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;ton;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;vos;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;votre;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;vôtre;;;;;;;;;;;;;
Pronoms personnels;elle;;;;;;;;;;;;;
Pronoms personnels;elle;;;;;;;;;;;;;
Pronoms personnels;elles;;;;;;;;;;;;;
Pronoms personnels;elles;;;;;;;;;;;;;
Pronoms personnels;eux;;;;;;;;;;;;;
Pronoms personnels;il;;;;;;;;;;;;;
Pronoms personnels;ils;;;;;;;;;;;;;
Pronoms personnels;je;;;;;;;;;;;;;
Pronoms personnels;la;;;;;;;;;;;;;
Pronoms personnels;le;;;;;;;;;;;;;
Pronoms personnels;leur;;;;;;;;;;;;;
Pronoms personnels;lui;;;;;;;;;;;;;
Pronoms personnels;me;;;;;;;;;;;;;
Pronoms personnels;moi;;;;;;;;;;;;;
Pronoms personnels;nous;;;;;;;;;;;;;
Pronoms personnels;on;;;;;;;;;;;;;
Pronoms personnels;se;;;;;;;;;;;;;
Pronoms personnels;te;;;;;;;;;;;;;
Pronoms personnels;toi;;;;;;;;;;;;;
Pronoms personnels;tu;;;;;;;;;;;;;
Pronoms personnels;vous;;;;;;;;;;;;;
Pronoms réfléchis;elle-même;;;;;;;;;;;;;
Pronoms réfléchis;elles-mêmes;;;;;;;;;;;;;
Pronoms réfléchis;eux-mêmes;;;;;;;;;;;;;
Pronoms réfléchis;lui-même;;;;;;;;;;;;;
Pronoms réfléchis;moi-même;;;;;;;;;;;;;
Pronoms réfléchis;nous-même;;;;;;;;;;;;;
Pronoms réfléchis;soi;;;;;;;;;;;;;
Pronoms réfléchis;soi-même;;;;;;;;;;;;;
Pronoms réfléchis;toi-même;;;;;;;;;;;;;
Pronoms réfléchis;vous-même;;;;;;;;;;;;;
Pronoms relatifs et interrogatifs;auquel;;;;;;;;;;;;;
Pronoms relatifs et interrogatifs;auxquelles;;;;;;;;;;;;;
Pronoms relatifs et interrogatifs;auxquels;;;;;;;;;;;;;
Pronoms relatifs et interrogatifs;desquelles;;;;;;;;;;;;;
Pronoms relatifs et interrogatifs;desquels;;;;;;;;;;;;;
Pronoms relatifs et interrogatifs;dont;;;;;;;;;;;;;
Pronoms relatifs et interrogatifs;duquel;;;;;;;;;;;;;
